site_id,well_id,cell_type,dataset,experiment,plate,well,site,well_type,sirna,sirna_id,split1
U2OS-04_1_B03_1,U2OS-04_1_B03,U2OS,test,U2OS-04,1,B03,1,treatment,s36985,428,valid
U2OS-04_1_B03_2,U2OS-04_1_B03,U2OS,test,U2OS-04,1,B03,2,treatment,s36985,428,test
U2OS-04_1_B04_1,U2OS-04_1_B04,U2OS,test,U2OS-04,1,B04,1,treatment,s38253,779,valid
U2OS-04_1_B04_2,U2OS-04_1_B04,U2OS,test,U2OS-04,1,B04,2,treatment,s38253,779,test
U2OS-04_1_B05_1,U2OS-04_1_B05,U2OS,test,U2OS-04,1,B05,1,treatment,s36272,452,valid
U2OS-04_1_B05_2,U2OS-04_1_B05,U2OS,test,U2OS-04,1,B05,2,treatment,s36272,452,test
U2OS-04_1_B06_1,U2OS-04_1_B06,U2OS,test,U2OS-04,1,B06,1,treatment,s38221,72,test
U2OS-04_1_B06_2,U2OS-04_1_B06,U2OS,test,U2OS-04,1,B06,2,treatment,s38221,72,valid
U2OS-04_1_B07_1,U2OS-04_1_B07,U2OS,test,U2OS-04,1,B07,1,treatment,s38314,857,test
U2OS-04_1_B07_2,U2OS-04_1_B07,U2OS,test,U2OS-04,1,B07,2,treatment,s38314,857,test
U2OS-04_1_B08_1,U2OS-04_1_B08,U2OS,test,U2OS-04,1,B08,1,treatment,s36651,903,test
U2OS-04_1_B08_2,U2OS-04_1_B08,U2OS,test,U2OS-04,1,B08,2,treatment,s36651,903,valid
U2OS-04_1_B09_1,U2OS-04_1_B09,U2OS,test,U2OS-04,1,B09,1,treatment,s36323,206,test
U2OS-04_1_B09_2,U2OS-04_1_B09,U2OS,test,U2OS-04,1,B09,2,treatment,s36323,206,train
U2OS-04_1_B10_1,U2OS-04_1_B10,U2OS,test,U2OS-04,1,B10,1,treatment,s39023,736,test
U2OS-04_1_B10_2,U2OS-04_1_B10,U2OS,test,U2OS-04,1,B10,2,treatment,s39023,736,test
U2OS-04_1_B11_1,U2OS-04_1_B11,U2OS,test,U2OS-04,1,B11,1,treatment,s195493,579,valid
U2OS-04_1_B11_2,U2OS-04_1_B11,U2OS,test,U2OS-04,1,B11,2,treatment,s195493,579,train
U2OS-04_1_B12_1,U2OS-04_1_B12,U2OS,test,U2OS-04,1,B12,1,treatment,s37901,1090,valid
U2OS-04_1_B12_2,U2OS-04_1_B12,U2OS,test,U2OS-04,1,B12,2,treatment,s37901,1090,test
U2OS-04_1_B13_1,U2OS-04_1_B13,U2OS,test,U2OS-04,1,B13,1,treatment,s38249,918,test
U2OS-04_1_B13_2,U2OS-04_1_B13,U2OS,test,U2OS-04,1,B13,2,treatment,s38249,918,train
U2OS-04_1_B14_1,U2OS-04_1_B14,U2OS,test,U2OS-04,1,B14,1,treatment,s36853,429,test
U2OS-04_1_B14_2,U2OS-04_1_B14,U2OS,test,U2OS-04,1,B14,2,treatment,s36853,429,test
U2OS-04_1_B15_1,U2OS-04_1_B15,U2OS,test,U2OS-04,1,B15,1,treatment,s38848,219,test
U2OS-04_1_B15_2,U2OS-04_1_B15,U2OS,test,U2OS-04,1,B15,2,treatment,s38848,219,test
U2OS-04_1_B16_1,U2OS-04_1_B16,U2OS,test,U2OS-04,1,B16,1,treatment,s39443,874,test
U2OS-04_1_B16_2,U2OS-04_1_B16,U2OS,test,U2OS-04,1,B16,2,treatment,s39443,874,test
U2OS-04_1_B17_1,U2OS-04_1_B17,U2OS,test,U2OS-04,1,B17,1,treatment,s36038,558,test
U2OS-04_1_B17_2,U2OS-04_1_B17,U2OS,test,U2OS-04,1,B17,2,treatment,s36038,558,valid
U2OS-04_1_B18_1,U2OS-04_1_B18,U2OS,test,U2OS-04,1,B18,1,treatment,s37926,1077,test
U2OS-04_1_B18_2,U2OS-04_1_B18,U2OS,test,U2OS-04,1,B18,2,treatment,s37926,1077,test
U2OS-04_1_B19_1,U2OS-04_1_B19,U2OS,test,U2OS-04,1,B19,1,treatment,s38273,1003,valid
U2OS-04_1_B19_2,U2OS-04_1_B19,U2OS,test,U2OS-04,1,B19,2,treatment,s38273,1003,test
U2OS-04_1_B20_1,U2OS-04_1_B20,U2OS,test,U2OS-04,1,B20,1,treatment,s36846,1024,valid
